"pressure" "temp"
"1" 91.423 21.602
"2" 91.695 21.448
"3" 98.883 23.323
"4" 97.324 22.971
"5" 107.62 25.854
"6" 108.112 25.609
"7" 109.279 25.838
"8" 119.933 29.242
"9" 135.555 31.489
"10" 139.684 34.101
"11" 139.041 33.901
"12" 150.165 37.481
"13" 150.21 35.451
"14" 164.155 39.506
"15" 168.234 40.285
"16" 180.802 43.004
"17" 172.646 41.449
"18" 169.884 42.989
"19" 171.617 41.976
"20" 180.564 44.692
"21" 191.243 48.599
"22" 199.386 47.901
"23" 202.913 49.127
"24" 196.225 49.542
"25" 207.458 51.144
"26" 205.375 50.995
"27" 218.322 50.917
"28" 225.607 54.749
"29" 223.994 53.226
"30" 229.04 54.467
"31" 227.416 55.35
"32" 223.958 54.673
"33" 224.79 54.936
"34" 230.715 57.549
"35" 216.433 56.982
"36" 224.124 58.775
"37" 256.821 61.204
"38" 276.594 68.297
"39" 267.296 68.476
"40" 280.352 68.774
